date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:15:26	1873/1873	---M--	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202009%2019:05:28%20GMT	http://www.coptic.org/language/Patron/index.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/Patron/index.html	(from )
10:15:26	330/330	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Jul%202010%2017:15:31%20GMT	http://www.coptic.org/language/serv	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/serv.46.delayed	(from )
10:15:35	11234/11234	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:06:16%20GMT	http://www.coptic.org/language/shadje.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/shadje.html	(from http://www.coptic.org/language/index2.html)
10:15:35	5855/5855	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:01:45%20GMT	http://www.coptic.org/language/FAQ.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/FAQ.html	(from http://www.coptic.org/language/index2.html)
10:15:36	16739/16739	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:02:46%20GMT	http://www.coptic.org/language/keft.htm	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/keft.htm	(from http://www.coptic.org/language/index2.html)
10:15:37	0/0	UR-M--	412	error ('Precondition%20Failed')	application/javascript	date:Mon,%2012%20Oct%202009%2007:31:56%20GMT	http://tagtag.com/js/emulator/emulator_public.js	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/tagtag.com/js/emulator/emulator_public.js	(from http://www.coptic.org/language/index2.html)
10:15:38	6909/6909	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Jul%202010%2020:46:04%20GMT	http://www.coptic.org/language/index.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/index.html	(from http://www.coptic.org/language/index2.html)
10:15:39	16739/16739	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:02:46%20GMT	http://www.coptic.org/language/keft.htm	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/keft.htm	(from http://www.coptic.org/language/index2.html)
10:46:28	89494242/89494242	---M--	200	added ('OK')	application/pdf	date:Fri,%2013%20Nov%202009%2010:56:41%20GMT	http://www.coptic.org/language/miscellaneouscop00budguoft.pdf	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/miscellaneouscop00budguoft.pdf	(from )
10:46:28	5855/5855	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:01:45%20GMT	http://www.coptic.org/language/FAQ.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/FAQ.html	(from http://www.coptic.org/language/index2.html)
10:46:32	80057/80057	---M--	200	added ('OK')	application/pdf	date:Fri,%2009%20May%202008%2021:05:00%20GMT	http://www.coptic.org/language/pisentverbs.pdf	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/pisentverbs.pdf	(from http://www.coptic.org/language/index2.html)
